id,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached_on_Time
3919,F,Ship,4,5,224,6,high,F,5,5659,1
3920,F,Flight,6,1,261,4,medium,M,10,1290,1
3921,C,Ship,2,2,226,3,low,M,5,5875,0
3922,D,Ship,5,4,157,7,medium,F,9,4272,0
3923,F,Ship,3,2,150,3,medium,F,4,1910,1
3924,C,Flight,7,3,310,4,medium,F,8,1497,0
3925,A,Ship,6,5,243,3,medium,F,35,2374,1
3926,C,Ship,2,5,264,3,medium,F,3,4320,1
3927,F,Road,5,4,157,4,low,F,65,1951,1
3928,C,Ship,5,3,264,5,medium,F,5,1399,0
3929,B,Flight,6,3,285,7,medium,M,7,5030,1
3930,C,Ship,3,3,241,2,high,M,2,4836,1
3931,F,Ship,4,3,216,2,low,M,4,5997,0
3932,A,Road,5,1,242,5,low,M,9,1767,0
3933,F,Ship,3,1,140,2,low,F,6,1435,1
3934,F,Ship,3,4,195,4,low,M,3,4743,0
3935,F,Flight,3,2,227,2,medium,M,10,4290,0
3936,D,Road,3,4,144,3,low,M,56,1496,1
3937,D,Ship,6,5,301,4,medium,F,2,1943,0
3938,C,Ship,5,1,126,5,medium,F,2,5659,1
3939,A,Ship,2,3,211,3,medium,F,55,3842,1
3940,F,Road,4,4,190,2,low,M,2,4460,0
3941,F,Flight,5,5,180,2,high,M,5,4585,1
3942,F,Flight,3,4,254,2,high,M,56,3266,1
3943,F,Flight,5,5,140,3,high,F,42,1384,1
3944,D,Ship,3,4,244,3,medium,M,2,5389,0
3945,F,Ship,3,3,151,3,low,M,9,5082,0
3946,F,Ship,2,4,105,2,medium,M,54,1707,1
3947,F,Flight,5,5,238,5,low,M,2,1657,0
3948,A,Road,6,5,248,3,low,F,3,5709,1
3949,F,Ship,5,4,219,2,medium,F,5,4919,1
3950,B,Ship,5,1,279,4,low,F,3,1499,0
3951,B,Ship,5,4,232,5,low,M,10,1512,0
3952,C,Ship,4,5,151,4,medium,M,3,5470,0
3953,D,Ship,4,2,206,7,high,M,3,4991,0
3954,F,Ship,6,5,254,4,low,F,2,1824,0
3955,D,Ship,4,2,157,4,low,F,6,4964,0
3956,F,Ship,3,4,285,3,low,M,9,4768,1
3957,A,Ship,3,2,206,2,low,F,7,4185,1
3958,D,Ship,5,3,255,4,medium,F,4,4178,1
3959,F,Ship,4,5,267,4,low,M,20,3132,1
3960,B,Flight,5,4,227,2,low,F,9,5706,1
3961,D,Ship,5,3,254,2,medium,M,4,3297,1
3962,D,Flight,3,2,192,3,medium,M,43,3339,1
3963,C,Road,3,4,232,5,medium,M,7,5653,1
3964,D,Ship,4,5,188,3,low,M,38,3031,1
3965,A,Ship,6,4,287,4,medium,M,7,1141,1
3966,D,Road,2,1,157,3,low,M,58,1930,1
3967,C,Flight,5,1,231,2,low,M,10,4892,1
3968,B,Ship,3,3,186,3,low,M,24,3262,1
3969,C,Ship,5,1,249,5,medium,M,10,1561,0
3970,F,Ship,3,1,243,3,medium,M,6,5371,0
3971,F,Road,6,4,287,4,medium,F,9,1936,1
3972,A,Ship,4,3,225,5,medium,M,3,1224,0
3973,F,Ship,3,2,229,6,medium,F,3,5689,1
3974,F,Ship,4,1,232,5,medium,M,8,1943,0
3975,C,Ship,6,3,135,5,low,F,20,1266,1
3976,D,Ship,5,5,275,5,low,M,4,1646,0
3977,B,Ship,4,2,124,3,high,M,60,1107,1
3978,F,Road,4,3,238,2,low,F,1,4051,0
3979,F,Ship,5,1,258,5,low,F,4,1032,0
3980,F,Flight,2,5,172,2,low,M,7,4649,0
3981,A,Ship,5,2,205,4,low,M,6,5486,0
3982,F,Flight,3,5,179,3,low,M,2,4913,0
3983,F,Ship,3,1,151,3,low,F,7,4072,0
3984,B,Flight,4,5,158,5,medium,F,55,1936,1
3985,D,Ship,3,1,192,3,low,F,4,5179,0
3986,B,Ship,3,1,191,5,medium,M,2,4956,1
3987,D,Ship,7,4,308,5,medium,F,7,1563,1
3988,C,Ship,4,3,266,3,medium,M,8,4493,0
3989,F,Ship,5,1,234,3,low,F,4,5033,0
3990,F,Ship,7,3,308,5,medium,M,10,1152,1
3991,C,Road,4,3,180,3,low,M,7,5718,0
3992,F,Road,4,3,241,5,low,F,2,1442,0
3993,F,Road,6,1,256,4,low,F,7,1372,1
3994,B,Ship,3,3,260,2,low,M,8,5382,0
3995,C,Flight,4,4,140,3,medium,F,4,1467,1
3996,B,Ship,5,5,244,3,medium,M,7,4078,1
3997,F,Ship,3,1,146,3,medium,M,9,4944,1
3998,F,Ship,6,5,233,6,medium,M,48,3341,1
3999,D,Ship,4,3,144,3,low,M,1,5881,0
4000,F,Road,5,2,258,5,low,M,3,1824,0
4001,F,Ship,3,2,151,2,low,F,3,4759,0
4002,F,Ship,3,3,147,8,medium,F,7,5822,0
4003,B,Flight,2,4,181,4,medium,M,13,2309,1
4004,A,Ship,3,1,247,2,low,M,7,5557,0
4005,D,Ship,4,1,139,3,low,F,1,5502,1
4006,F,Road,3,1,263,3,high,M,10,4911,0
4007,B,Ship,5,1,218,5,medium,F,9,1603,0
4008,D,Road,6,3,166,5,medium,F,3,4596,1
4009,C,Ship,6,1,309,4,medium,F,10,1904,1
4010,B,Ship,3,2,270,3,medium,M,9,5873,1
4011,F,Ship,3,5,187,4,medium,F,4,5640,0
4012,A,Ship,4,1,191,2,low,F,4,5851,1
4013,A,Ship,3,2,177,4,low,F,3,4199,1
4014,F,Flight,5,3,238,5,medium,M,2,1150,1
4015,F,Flight,3,5,138,3,low,F,37,1266,1
4016,F,Flight,3,1,135,3,low,M,9,4511,0
4017,F,Ship,4,5,157,3,low,M,20,1487,1
4018,F,Ship,3,5,164,3,high,M,10,4639,1
4019,D,Ship,5,1,248,3,medium,M,6,5081,1
4020,B,Ship,2,4,147,2,medium,M,3,5136,1
4021,B,Ship,4,3,268,2,low,F,4,5280,1
4022,A,Ship,4,2,231,4,medium,M,9,5194,0
4023,D,Ship,3,3,230,3,medium,F,2,4742,1
4024,F,Ship,3,4,209,3,low,M,37,2215,1
4025,D,Road,5,4,254,5,medium,M,7,1545,0
4026,A,Ship,3,5,268,3,low,F,6,4172,1
4027,B,Ship,5,1,264,3,low,M,6,2882,1
4028,B,Ship,4,4,232,2,low,M,36,2861,1
4029,D,Flight,5,2,268,3,medium,M,8,5385,1
4030,F,Ship,4,5,170,2,low,F,57,1533,1
4031,D,Ship,4,1,133,4,low,F,10,5258,0
4032,F,Ship,3,4,226,3,low,F,7,4411,1
4033,D,Ship,6,4,285,4,medium,M,6,1582,0
4034,B,Ship,4,5,212,4,low,M,21,1014,1
4035,A,Flight,5,4,274,3,low,M,1,5017,1
4036,C,Ship,3,2,180,4,medium,M,55,1165,1
4037,D,Road,4,2,156,3,medium,M,1,4097,1
4038,B,Road,6,5,141,3,medium,M,8,5031,0
4039,C,Flight,5,1,264,6,high,F,4,5337,0
4040,B,Flight,3,5,271,3,low,F,9,5328,0
4041,B,Ship,3,5,180,4,low,F,9,5105,1
4042,A,Ship,5,4,260,3,low,M,43,2143,1
4043,D,Ship,3,4,169,2,low,M,17,1242,1
4044,F,Flight,4,2,209,2,low,F,23,2533,1
4045,B,Ship,4,1,218,5,low,F,5,1238,0
4046,F,Flight,7,2,250,5,medium,M,9,1327,0
4047,C,Flight,3,3,149,3,medium,F,3,4189,0
4048,A,Ship,5,4,134,2,low,F,20,1549,1
4049,F,Road,3,2,164,2,medium,F,3,4666,0
4050,D,Ship,4,3,170,3,medium,F,2,5330,1
4051,F,Ship,2,3,185,3,medium,F,7,4246,0
4052,B,Ship,4,2,184,3,medium,F,5,5931,1
4053,F,Flight,4,5,113,3,medium,F,10,4053,1
4054,F,Road,4,4,173,3,low,M,10,4616,0
4055,B,Ship,5,4,231,6,medium,F,3,1075,0
4056,F,Ship,3,1,265,3,medium,F,61,3010,1
4057,B,Ship,3,1,236,3,low,M,2,4298,0
4058,C,Ship,3,3,133,6,low,F,10,1686,1
4059,F,Ship,4,3,140,3,high,F,46,1072,1
4060,D,Ship,4,3,196,3,low,F,10,4194,1
4061,C,Ship,4,4,173,3,medium,F,61,1609,1
4062,A,Ship,4,1,214,5,medium,M,9,5801,0
4063,D,Ship,4,5,224,2,low,M,6,4994,0
4064,C,Flight,5,1,255,5,low,M,3,1574,1
4065,F,Ship,3,4,102,3,medium,M,9,4111,0
4066,D,Ship,6,5,298,4,low,M,3,1009,1
4067,C,Ship,3,4,193,6,low,M,2,5584,0
4068,B,Ship,2,1,188,3,low,M,62,2106,1
4069,C,Ship,5,2,145,4,medium,F,9,4028,0
4070,C,Ship,2,2,212,4,medium,F,3,1284,1
4071,F,Ship,4,3,262,2,low,M,10,5524,1
4072,C,Road,4,4,206,2,high,M,8,4093,1
4073,C,Flight,3,3,207,3,high,M,1,5632,1
4074,F,Ship,5,4,160,3,high,M,2,5876,0
4075,F,Ship,5,5,253,2,medium,F,2,4364,0
4076,C,Flight,4,2,229,4,medium,M,3,5340,0
4077,C,Ship,4,2,235,3,low,F,21,3088,1
4078,B,Ship,5,3,174,5,medium,M,47,1909,1
4079,F,Road,6,5,247,6,medium,M,3,4832,0
4080,B,Road,4,2,239,3,low,F,65,3679,1
4081,B,Ship,5,1,146,3,high,F,3,4345,1
4082,D,Ship,5,4,168,3,low,F,13,1317,1
4083,F,Flight,4,4,207,3,low,M,20,2637,1
4084,B,Ship,6,3,250,2,medium,F,1,4747,0
4085,F,Ship,5,4,219,5,low,M,10,1363,1
4086,C,Ship,3,4,274,3,low,F,7,5036,1
4087,C,Ship,4,3,237,6,low,M,8,5588,0
4088,A,Ship,4,3,262,3,medium,M,46,2904,1
4089,F,Ship,6,2,164,4,low,M,6,5264,0
4090,B,Road,4,4,181,3,medium,M,1,5444,0
4091,D,Ship,5,1,235,5,low,M,4,1259,1
4092,F,Ship,2,5,249,3,low,F,3,4169,0
4093,F,Ship,3,1,156,3,medium,M,49,1253,1
4094,C,Ship,5,4,196,3,medium,M,2,5427,1
4095,D,Ship,3,1,249,2,medium,F,1,5190,1
4096,A,Ship,5,3,222,3,low,F,6,4744,1
4097,F,Ship,3,2,229,7,high,M,3,5584,0
4098,F,Ship,5,1,221,6,medium,F,7,1841,1
4099,A,Road,2,1,151,3,low,F,5,5982,1
4100,B,Ship,3,3,110,3,low,M,7,1235,1
4101,F,Flight,4,5,227,4,low,F,20,2217,1
4102,F,Flight,3,2,209,2,medium,M,6,5095,1
4103,C,Flight,6,3,269,4,low,F,4,1948,1
4104,C,Ship,4,4,223,4,low,M,1,4219,0
4105,B,Ship,4,1,284,4,low,F,4,4795,1
4106,C,Ship,4,4,234,5,low,M,7,1871,0
4107,C,Road,4,1,239,3,medium,F,9,4930,1
4108,F,Road,4,3,162,2,medium,F,58,1708,1
4109,C,Flight,3,2,207,2,medium,F,10,4070,1
4110,B,Road,3,4,257,3,low,F,4,4883,0
4111,F,Road,4,5,201,10,low,F,7,5340,0
4112,A,Ship,4,3,136,3,low,F,7,5976,0
4113,B,Ship,5,1,174,3,low,M,10,4008,0
4114,B,Road,6,4,256,4,medium,F,9,1791,0
4115,D,Ship,3,2,255,7,medium,M,2,5282,0
4116,B,Flight,3,4,140,3,low,M,3,5300,0
4117,C,Flight,3,2,262,2,low,M,5,5747,1
4118,D,Ship,2,4,173,2,low,M,1,4721,0
4119,C,Flight,5,2,198,3,low,F,7,5768,1
4120,C,Flight,4,3,208,2,medium,F,1,5826,0
4121,A,Ship,5,3,245,3,medium,F,5,5663,0
4122,F,Ship,4,1,169,2,low,M,2,5702,1
4123,B,Ship,6,2,306,4,low,F,6,1123,0
4124,C,Road,4,5,244,3,low,F,7,4172,0
4125,D,Flight,4,4,148,3,low,M,4,5716,1
4126,F,Flight,3,3,149,2,medium,M,3,4527,0
4127,B,Ship,4,4,212,3,medium,M,50,2073,1
4128,A,Ship,2,1,255,2,medium,M,9,5936,1
4129,B,Road,4,4,227,3,medium,F,1,2761,1
4130,C,Ship,4,2,195,2,medium,M,10,4640,0
4131,C,Flight,4,4,220,2,medium,F,33,2897,1
4132,F,Ship,4,3,144,2,low,F,5,4882,0
4133,D,Road,4,5,244,2,medium,F,7,5325,1
4134,B,Ship,2,1,198,2,low,M,8,4323,0
4135,A,Ship,5,2,239,5,low,M,1,1518,1
4136,A,Ship,3,3,264,3,medium,F,6,4247,1
4137,A,Road,3,2,234,3,low,F,10,4781,0
4138,D,Ship,4,4,145,3,medium,M,8,5780,0
4139,D,Flight,4,1,245,3,low,F,9,4024,1
4140,F,Flight,4,5,143,2,low,M,1,5836,0
4141,A,Ship,5,5,262,6,low,M,10,1816,1
4142,B,Ship,5,4,143,3,medium,F,1,5165,1
4143,D,Ship,3,3,239,6,low,M,7,4501,1
4144,F,Road,5,5,266,4,medium,M,62,2201,1
4145,D,Ship,7,1,300,4,medium,F,10,1148,1
4146,F,Flight,3,3,252,2,high,M,1,5707,1
4147,B,Ship,3,2,206,2,low,M,3,2261,1
4148,F,Ship,5,3,243,3,medium,F,10,4524,1
4149,A,Ship,5,2,144,3,low,M,49,1202,1
4150,F,Road,3,1,177,2,low,M,38,1099,1
4151,F,Ship,5,5,244,6,low,F,1,1222,0
4152,A,Flight,2,2,255,3,low,M,59,1514,1
4153,F,Ship,4,5,201,3,low,F,10,4530,1
4154,B,Ship,4,2,269,5,low,F,45,2383,1
4155,F,Ship,4,2,242,6,low,F,10,1531,1
4156,C,Ship,6,1,196,4,medium,F,2,5844,0
4157,B,Flight,3,2,164,3,medium,F,29,1187,1
4158,D,Ship,4,5,149,2,low,M,2,5724,1
4159,F,Ship,6,2,301,5,medium,M,3,1844,1
4160,F,Road,6,4,136,3,low,M,2,1187,0
4161,D,Ship,5,4,171,5,medium,M,1,5749,0
4162,A,Ship,5,4,152,3,low,M,1,5314,1
4163,B,Road,2,2,247,3,medium,F,9,4284,1
4164,F,Ship,3,3,148,4,low,F,2,5557,0
4165,C,Ship,5,1,245,3,medium,M,9,5690,0
4166,A,Ship,5,5,134,2,medium,M,64,1785,1
4167,F,Ship,4,3,274,5,low,M,5,1512,0
4168,D,Road,3,3,145,3,medium,M,1,5709,0
4169,F,Ship,4,4,189,2,medium,F,18,2955,1
4170,F,Ship,4,4,140,2,low,F,47,1831,1
4171,D,Ship,5,1,181,2,medium,F,4,5578,1
4172,A,Flight,4,2,237,6,low,F,8,5695,0
4173,F,Road,4,2,150,4,low,F,1,5922,1
4174,F,Ship,3,1,203,2,medium,F,51,3976,1
4175,F,Ship,3,5,220,4,low,F,5,5677,0
4176,C,Road,2,5,216,3,medium,F,2,5098,0
4177,F,Flight,4,4,145,2,medium,M,8,5645,1
4178,A,Ship,4,1,222,2,high,M,3,5665,1
4179,C,Ship,5,5,259,3,medium,F,1,4608,0
4180,B,Ship,2,1,208,2,low,M,10,4671,1
4181,D,Ship,3,2,200,3,low,M,46,3642,1
4182,A,Ship,3,4,113,3,medium,M,1,5765,1
4183,F,Ship,2,1,125,4,low,M,1,4097,1
4184,A,Ship,5,4,235,3,low,M,3,4411,1
4185,A,Flight,5,5,219,5,low,M,6,1234,0
4186,F,Ship,3,1,102,4,medium,F,4,5936,1
4187,F,Ship,2,3,228,3,high,M,5,4663,0
4188,F,Ship,5,1,144,4,low,M,37,1658,1
4189,B,Ship,4,3,142,4,low,M,29,1420,1
4190,B,Flight,6,2,229,3,medium,M,13,2322,1
4191,F,Ship,4,1,276,2,medium,M,3,1966,0
4192,C,Road,3,4,248,4,medium,M,8,4540,0
4193,A,Road,5,1,135,3,low,M,3,4939,1
4194,C,Road,5,5,259,3,medium,F,5,4315,0
4195,F,Ship,4,4,147,3,low,M,13,1145,1
4196,D,Ship,4,4,239,3,medium,F,7,5297,1
4197,D,Ship,4,4,251,3,medium,F,9,5350,1
4198,C,Flight,2,2,242,3,high,M,9,4717,0
4199,F,Ship,7,4,301,4,low,F,1,1150,0
4200,A,Flight,4,2,238,2,medium,F,9,4937,0
4201,F,Ship,4,1,169,4,low,F,10,4245,0
4202,A,Road,4,1,204,6,low,M,1,4943,0
4203,A,Ship,3,1,242,5,low,F,3,4026,0
4204,C,Ship,2,3,219,4,low,F,9,4086,0
4205,D,Flight,3,4,188,4,low,F,49,3067,1
4206,C,Flight,5,1,253,5,low,M,31,3836,1
4207,D,Ship,3,3,223,3,low,M,10,5243,1
4208,F,Ship,4,4,176,4,high,F,63,1293,1
4209,A,Flight,5,1,303,5,medium,F,9,1203,0
4210,F,Ship,3,2,160,3,low,F,4,4683,0
4211,D,Ship,5,2,236,6,low,F,6,1552,0
4212,F,Ship,5,4,219,5,low,M,5,1388,1
4213,B,Ship,4,5,272,4,medium,F,9,5034,1
4214,F,Ship,4,2,232,2,low,M,5,4907,0
4215,B,Ship,6,2,244,4,medium,F,1,1406,1
4216,C,Ship,3,5,242,3,medium,M,19,3753,1
4217,F,Road,3,2,193,3,low,F,7,5224,0
4218,F,Ship,3,4,220,3,medium,F,5,5078,0
4219,F,Road,3,1,100,3,low,F,17,1129,1
4220,D,Ship,5,3,209,4,medium,F,7,2675,1
4221,F,Ship,3,4,133,8,medium,F,10,5439,1
4222,F,Road,5,1,143,3,low,M,5,5146,1
4223,C,Ship,3,3,253,4,low,F,9,4682,1
4224,C,Ship,6,2,298,4,low,M,2,1648,0
4225,D,Ship,4,3,180,3,medium,M,5,4038,1
4226,F,Ship,3,4,145,8,low,F,15,1429,1
4227,B,Ship,4,3,266,3,high,F,2,5298,0
4228,D,Ship,5,4,243,5,medium,F,4,1813,0
4229,B,Flight,3,1,178,3,low,M,3,4811,0
4230,D,Ship,5,3,242,3,low,M,58,3411,1
4231,D,Ship,4,1,189,2,low,M,10,4646,0
4232,A,Ship,3,5,216,4,low,F,3,4934,0
4233,F,Ship,6,4,244,4,low,M,1,1130,1
4234,F,Ship,5,5,216,4,medium,F,1,4092,1
4235,A,Ship,4,2,258,7,medium,M,3,4538,1
4236,F,Road,6,1,163,4,high,M,3,4031,1
4237,F,Ship,5,3,189,5,low,M,7,4869,0
4238,C,Ship,5,4,230,3,low,M,1,4727,0
4239,C,Ship,7,3,289,4,low,F,3,1037,1
4240,B,Ship,6,4,256,4,low,F,9,1676,0
4241,B,Ship,4,3,210,3,low,M,9,5556,0
4242,A,Ship,3,3,225,3,medium,F,7,4961,1
4243,B,Ship,3,4,269,2,medium,M,2,4177,0
4244,F,Ship,4,3,195,3,medium,M,5,5863,0
4245,D,Road,6,4,201,4,low,F,8,5355,1
4246,F,Flight,4,4,208,3,low,F,10,4919,0
4247,C,Road,3,3,190,3,medium,M,2,4468,1
4248,A,Ship,7,3,288,4,medium,M,3,1989,0
4249,F,Ship,4,3,250,2,high,F,10,4885,1
4250,F,Ship,3,5,286,6,medium,M,3,4424,0
4251,C,Ship,7,4,284,4,low,M,3,1751,1
4252,B,Road,3,2,178,2,medium,F,22,1247,1
4253,A,Ship,3,4,212,8,low,F,56,3337,1
4254,A,Flight,3,3,253,4,medium,F,57,2489,1
4255,F,Ship,3,4,284,10,low,M,5,5479,0
4256,F,Ship,4,3,154,10,high,M,7,5317,0
4257,C,Ship,5,5,234,2,medium,M,44,2548,1
4258,F,Ship,3,1,160,3,low,M,57,1833,1
4259,C,Ship,4,4,237,3,medium,M,2,4760,0
4260,A,Ship,3,4,192,3,medium,F,31,3331,1
4261,F,Ship,4,3,211,3,high,M,12,3922,1
4262,F,Road,4,3,158,3,high,F,5,5602,0
4263,F,Ship,5,4,211,3,low,M,9,4908,0
4264,F,Road,3,3,249,2,medium,M,53,2323,1
4265,D,Ship,3,1,232,3,low,M,9,2958,1
4266,C,Road,4,5,273,2,low,F,9,5724,0
4267,F,Ship,6,5,294,4,medium,F,2,1273,1
4268,A,Flight,4,5,234,3,low,M,5,5213,0
4269,B,Ship,4,4,268,3,low,M,7,5947,0
4270,C,Road,5,3,236,5,medium,M,10,1630,0
4271,B,Road,5,4,212,2,low,F,9,4925,0
4272,A,Road,2,5,273,2,high,M,5,4236,0
4273,C,Flight,4,2,237,2,medium,F,6,2965,1
4274,C,Flight,4,3,241,2,medium,F,4,5942,1
4275,F,Ship,4,3,249,5,low,F,3,1012,1
4276,F,Ship,2,2,171,2,medium,F,6,5105,0
4277,F,Ship,5,5,258,5,low,F,10,1719,1
4278,D,Ship,3,2,237,3,low,M,8,5287,1
4279,F,Ship,5,1,103,5,low,M,3,4966,0
4280,A,Ship,5,4,181,5,medium,M,2,5324,0
4281,B,Flight,3,4,273,2,medium,F,39,2651,1
4282,F,Ship,5,3,264,2,low,F,61,2025,1
4283,C,Ship,4,1,187,3,medium,M,8,5872,0
4284,F,Ship,3,2,228,2,medium,M,2,5640,0
4285,F,Ship,5,3,233,5,medium,F,3,1398,0
4286,F,Ship,2,4,114,4,low,M,9,4452,1
4287,A,Ship,2,5,228,2,low,F,49,3024,1
4288,C,Flight,4,5,187,5,medium,M,16,3781,1
4289,F,Ship,4,3,158,3,low,M,18,1036,1
4290,F,Ship,5,3,267,3,low,M,9,5258,1
4291,B,Flight,4,3,153,3,low,M,5,5743,1
4292,A,Flight,5,5,222,3,medium,M,5,4949,0
4293,C,Road,4,4,185,2,medium,F,1,4729,0
4294,C,Ship,4,1,160,5,low,F,10,4018,1
4295,F,Ship,4,4,176,3,low,F,1,4774,0
4296,D,Ship,4,1,245,3,low,F,5,4523,0
4297,D,Road,4,4,216,2,low,F,4,5984,0
4298,D,Flight,5,4,212,6,medium,F,5,2041,1
4299,F,Ship,3,3,268,10,medium,M,2,5626,1
4300,F,Flight,6,5,256,5,low,M,10,1686,0
4301,A,Ship,3,2,164,10,high,F,28,1940,1
4302,F,Ship,2,4,140,3,low,F,33,1278,1
4303,D,Ship,4,5,186,7,medium,F,1,4357,0
4304,D,Ship,5,2,174,3,medium,F,10,4902,1
4305,A,Ship,7,3,310,4,medium,M,8,1860,1
4306,D,Flight,5,4,233,4,medium,M,1,4255,1
4307,F,Flight,4,4,225,5,low,F,1,1476,1
4308,B,Ship,5,1,220,5,low,F,4,1156,1
4309,D,Ship,4,2,223,5,medium,F,8,1559,1
4310,D,Ship,4,2,261,2,medium,F,4,5926,1
4311,F,Road,3,5,170,3,low,F,5,5064,0
4312,F,Ship,4,4,261,3,high,M,9,5515,0
4313,C,Ship,7,4,261,5,low,M,6,1334,0
4314,B,Ship,3,4,172,6,medium,F,1,4618,0
4315,C,Road,3,3,241,3,low,F,6,5261,0
4316,F,Ship,4,5,246,5,low,F,2,1024,1
4317,A,Flight,5,1,182,5,high,F,6,5398,0
4318,F,Ship,4,1,234,5,low,M,3,1134,0
4319,F,Ship,4,5,153,2,low,M,1,4492,0
4320,C,Ship,4,4,246,2,low,M,11,2282,1
4321,B,Ship,5,3,240,5,low,M,6,1489,0
4322,C,Ship,5,5,232,5,low,M,1,1127,0
4323,F,Road,5,5,158,3,medium,M,7,5559,1
4324,A,Ship,3,4,203,3,medium,M,1,5543,0
4325,C,Flight,4,2,180,3,low,F,47,1434,1
4326,F,Ship,3,1,121,5,low,M,62,1505,1
4327,F,Ship,3,3,243,3,medium,F,27,2052,1
4328,A,Road,5,5,254,2,medium,M,6,4934,0
4329,C,Ship,5,2,248,5,medium,F,1,1845,1
4330,F,Ship,4,4,175,5,low,M,10,4498,1
4331,D,Ship,4,3,224,3,medium,F,9,5283,1
4332,A,Flight,6,3,233,6,low,F,9,4814,0
4333,F,Ship,6,3,244,4,low,F,5,1668,1
4334,F,Ship,4,2,198,2,low,M,60,3368,1
4335,F,Ship,4,5,249,2,medium,F,10,4562,0
4336,F,Ship,5,5,247,10,medium,F,61,2206,1
4337,F,Flight,4,4,264,3,medium,F,9,5555,1
4338,F,Ship,4,1,212,2,medium,M,4,4969,0
4339,F,Ship,7,3,300,4,medium,F,5,1244,0
4340,D,Ship,4,5,178,3,low,F,48,1819,1
4341,D,Flight,5,1,244,2,medium,M,6,5217,0
4342,B,Ship,5,3,202,4,low,M,6,5107,0
4343,C,Ship,6,2,189,2,low,F,2,1837,0
4344,F,Flight,5,2,217,2,medium,F,6,4120,1
4345,C,Ship,3,2,165,2,low,F,24,1966,1
4346,F,Road,5,5,171,2,high,M,8,4602,0
4347,D,Ship,4,3,172,3,medium,F,6,1261,1
4348,B,Road,7,1,296,4,low,F,10,1230,1
4349,F,Ship,2,5,133,3,low,F,62,1596,1
4350,F,Ship,5,3,219,5,low,M,7,1993,1
4351,A,Ship,5,5,259,6,low,M,5,1382,1
4352,B,Ship,3,5,205,4,low,M,2,1648,0
4353,F,Ship,2,5,135,6,medium,F,9,5777,1
4354,C,Road,3,1,169,2,medium,F,1,4783,1
4355,C,Road,5,5,195,4,medium,M,1,4482,0
4356,F,Ship,5,3,189,3,medium,F,7,5830,1
4357,C,Ship,5,5,265,3,low,M,6,4423,1
4358,B,Ship,3,3,249,5,medium,F,9,1752,0
4359,C,Ship,5,4,117,3,medium,F,4,5332,0
4360,D,Ship,3,4,187,3,low,M,7,5417,0
4361,D,Ship,6,5,280,4,low,F,3,1819,1
4362,A,Flight,6,3,229,8,medium,M,6,4600,0
4363,C,Ship,6,3,297,4,medium,M,2,1954,0
4364,C,Flight,5,3,167,2,low,M,3,1140,1
4365,B,Ship,3,2,199,3,medium,F,8,4164,1
4366,A,Ship,5,2,249,6,low,M,8,5633,0
4367,C,Ship,5,2,226,5,medium,M,5,1323,0
4368,F,Road,3,3,163,3,medium,M,2,5791,1
4369,D,Ship,2,5,171,3,medium,F,13,1101,1
4370,B,Road,5,2,227,6,medium,F,6,1620,0
4371,D,Ship,4,3,150,2,low,M,51,1491,1
4372,B,Ship,4,1,144,2,high,M,35,1072,1
4373,F,Ship,3,5,213,2,low,F,39,2857,1
4374,D,Flight,4,1,143,3,medium,M,4,4283,0
4375,F,Ship,3,3,200,3,high,F,2,4777,1
4376,F,Ship,2,3,211,3,medium,F,12,3296,1
4377,F,Ship,4,4,287,6,medium,M,6,5282,0
4378,F,Flight,5,3,224,5,medium,M,9,1643,1
4379,C,Ship,5,4,210,3,medium,F,6,5102,0
4380,F,Flight,5,4,142,3,low,F,8,5468,1
4381,B,Ship,4,4,111,6,low,M,8,1145,1
4382,C,Road,4,4,245,4,medium,F,6,5051,0
4383,F,Ship,4,1,178,8,medium,F,6,4872,0
4384,A,Ship,3,5,159,2,medium,M,6,5804,0
4385,D,Ship,3,5,156,4,medium,F,26,1769,1
4386,A,Ship,5,4,191,4,low,M,8,4566,1
4387,C,Ship,3,5,184,3,low,F,2,4357,1
4388,A,Ship,4,2,222,2,medium,F,16,2518,1
4389,D,Ship,5,4,273,3,medium,M,6,4044,1
4390,F,Ship,5,1,227,5,low,M,6,1667,0
4391,C,Ship,4,4,176,6,high,M,5,4494,1
4392,B,Ship,4,2,266,3,medium,M,7,5121,0
4393,A,Ship,3,3,206,3,low,F,3,5746,1
4394,B,Flight,3,2,199,3,low,F,8,5431,0
4395,B,Road,4,1,280,3,medium,M,2,3366,1
4396,B,Ship,3,2,272,3,low,M,7,5657,1
4397,B,Road,4,1,237,3,medium,F,8,5668,1
4398,C,Ship,3,2,172,3,medium,F,8,4982,1
4399,C,Ship,5,1,194,3,medium,F,32,3003,1
4400,B,Ship,4,2,193,2,high,F,48,2371,1
4401,D,Ship,3,2,250,3,low,F,37,2736,1
4402,F,Ship,4,1,181,3,medium,M,38,3258,1
4403,C,Road,3,3,136,3,low,M,10,5175,0
4404,C,Ship,4,2,249,5,low,M,1,1200,0
4405,C,Ship,4,2,273,4,low,F,26,3223,1
4406,C,Road,4,4,193,2,low,F,6,4855,1
4407,B,Flight,4,5,268,3,medium,M,7,3622,1
4408,B,Ship,5,2,199,4,low,F,59,2885,1
4409,A,Ship,3,2,221,2,medium,M,10,4715,1
